Trial,Bandit,Reward,CumulativeReward,CumulativeRegret,Algorithm
6201,3,3.973873749499028,24222.997698102587,575,EpsilonGreedy
6202,3,3.9082817812845243,24226.90597988387,575,EpsilonGreedy
6203,3,3.991755748648668,24230.89773563252,575,EpsilonGreedy
6204,3,4.3786238673568825,24235.276359499876,575,EpsilonGreedy
6205,3,3.987588575708634,24239.263948075586,575,EpsilonGreedy
6206,3,4.067918446638227,24243.331866522225,575,EpsilonGreedy
6207,3,4.185096131584385,24247.516962653808,575,EpsilonGreedy
6208,3,4.231498632599876,24251.748461286406,575,EpsilonGreedy
6209,3,3.957509243629448,24255.705970530034,575,EpsilonGreedy
6210,3,3.916184056552177,24259.62215458659,575,EpsilonGreedy
6211,3,3.9877912621412497,24263.60994584873,575,EpsilonGreedy
6212,1,1.7664042457395448,24265.37635009447,577,EpsilonGreedy
6213,3,3.7566796462476866,24269.13302974072,577,EpsilonGreedy
6214,3,3.591713072730878,24272.72474281345,577,EpsilonGreedy
6215,3,3.997060196696702,24276.721803010147,577,EpsilonGreedy
6216,3,4.2018494768079515,24280.923652486956,577,EpsilonGreedy
6217,3,3.8944046458184602,24284.818057132776,577,EpsilonGreedy
6218,3,4.284463132746894,24289.102520265522,577,EpsilonGreedy
6219,3,3.9541429669945494,24293.056663232517,577,EpsilonGreedy
6220,3,4.027601316262469,24297.08426454878,577,EpsilonGreedy
6221,3,3.6306988497172483,24300.714963398495,577,EpsilonGreedy
6222,3,3.711521930104251,24304.4264853286,577,EpsilonGreedy
6223,3,3.8197478120538118,24308.246233140653,577,EpsilonGreedy
6224,3,4.019402151860884,24312.265635292515,577,EpsilonGreedy
6225,3,4.162502423956631,24316.428137716473,577,EpsilonGreedy
6226,3,4.153346016449033,24320.581483732924,577,EpsilonGreedy
6227,3,3.7983958473101875,24324.379879580232,577,EpsilonGreedy
6228,3,3.8987265108027134,24328.278606091037,577,EpsilonGreedy
6229,3,4.043069394935343,24332.32167548597,577,EpsilonGreedy
6230,3,3.814508032979422,24336.13618351895,577,EpsilonGreedy
6231,3,3.9092959337213817,24340.04547945267,577,EpsilonGreedy
6232,3,3.915361976643215,24343.960841429314,577,EpsilonGreedy
6233,3,3.8602327302994226,24347.821074159612,577,EpsilonGreedy
6234,3,3.7812416428976854,24351.60231580251,577,EpsilonGreedy
6235,3,3.8890541070170888,24355.491369909527,577,EpsilonGreedy
6236,3,3.702323223955234,24359.193693133482,577,EpsilonGreedy
6237,3,3.82792649469571,24363.021619628176,577,EpsilonGreedy
6238,3,3.922591983945573,24366.94421161212,577,EpsilonGreedy
6239,3,3.8423855772583146,24370.78659718938,577,EpsilonGreedy
6240,3,3.9195273030209195,24374.7061244924,577,EpsilonGreedy
6241,3,3.529314474557559,24378.23543896696,577,EpsilonGreedy
6242,3,3.823958230521737,24382.05939719748,577,EpsilonGreedy
6243,3,3.9550232052656593,24386.014420402746,577,EpsilonGreedy
6244,3,4.069277689920514,24390.083698092665,577,EpsilonGreedy
6245,3,3.897699289028037,24393.981397381693,577,EpsilonGreedy
6246,3,3.5618905911587553,24397.54328797285,577,EpsilonGreedy
6247,3,3.848748886710086,24401.39203685956,577,EpsilonGreedy
6248,3,4.183016666419381,24405.57505352598,577,EpsilonGreedy
6249,3,3.9716533972982635,24409.546706923276,577,EpsilonGreedy
6250,3,4.278077664176078,24413.824784587454,577,EpsilonGreedy
6251,3,4.112016109313454,24417.936800696767,577,EpsilonGreedy
6252,3,3.6306031493157596,24421.567403846082,577,EpsilonGreedy
6253,3,3.9281171036577778,24425.49552094974,577,EpsilonGreedy
6254,3,3.9103808550258563,24429.405901804763,577,EpsilonGreedy
6255,3,4.111128509916549,24433.51703031468,577,EpsilonGreedy
6256,3,3.962060821432861,24437.479091136112,577,EpsilonGreedy
6257,3,4.393493063783801,24441.872584199897,577,EpsilonGreedy
6258,3,3.844634123182238,24445.71721832308,577,EpsilonGreedy
6259,3,4.233539274579534,24449.95075759766,577,EpsilonGreedy
6260,3,4.501561540430408,24454.45231913809,577,EpsilonGreedy
6261,3,3.893668730779286,24458.34598786887,577,EpsilonGreedy
6262,3,4.239513881967452,24462.585501750837,577,EpsilonGreedy
6263,3,3.853661848810441,24466.439163599647,577,EpsilonGreedy
6264,3,4.34302773584952,24470.782191335496,577,EpsilonGreedy
6265,3,4.274661013731035,24475.05685234923,577,EpsilonGreedy
6266,3,3.95991120645823,24479.016763555686,577,EpsilonGreedy
6267,3,4.096823807228683,24483.113587362914,577,EpsilonGreedy
6268,3,4.0564664782333315,24487.170053841146,577,EpsilonGreedy
6269,3,4.267688669955633,24491.4377425111,577,EpsilonGreedy
6270,3,4.0036704053937795,24495.441412916494,577,EpsilonGreedy
6271,3,3.5533738389381595,24498.994786755433,577,EpsilonGreedy
6272,3,3.8040723653663044,24502.798859120798,577,EpsilonGreedy
6273,3,4.182595070998557,24506.981454191795,577,EpsilonGreedy
6274,3,4.083180074343066,24511.06463426614,577,EpsilonGreedy
6275,3,4.0549464668556885,24515.119580732993,577,EpsilonGreedy
6276,0,0.9411644791579602,24516.06074521215,580,EpsilonGreedy
6277,3,4.174845160824241,24520.235590372977,580,EpsilonGreedy
6278,3,4.2570308973231334,24524.4926212703,580,EpsilonGreedy
6279,3,4.336284576419344,24528.82890584672,580,EpsilonGreedy
6280,3,4.032195012885034,24532.861100859605,580,EpsilonGreedy
6281,3,3.860683785069026,24536.721784644673,580,EpsilonGreedy
6282,3,3.8683537791911853,24540.590138423864,580,EpsilonGreedy
6283,3,3.80130963591201,24544.391448059778,580,EpsilonGreedy
6284,3,4.029448270502784,24548.42089633028,580,EpsilonGreedy
6285,3,3.869809513744822,24552.290705844025,580,EpsilonGreedy
6286,3,3.8111033875031803,24556.101809231528,580,EpsilonGreedy
6287,3,4.431102620307689,24560.532911851835,580,EpsilonGreedy
6288,3,4.271521957092733,24564.804433808928,580,EpsilonGreedy
6289,3,3.807602491834796,24568.61203630076,580,EpsilonGreedy
6290,3,3.939291280525486,24572.55132758129,580,EpsilonGreedy
6291,3,3.9467577909440164,24576.498085372234,580,EpsilonGreedy
6292,2,3.123824326064013,24579.621909698297,581,EpsilonGreedy
6293,3,4.343638971121792,24583.965548669417,581,EpsilonGreedy
6294,3,4.077867004765257,24588.043415674183,581,EpsilonGreedy
6295,3,3.884942168443766,24591.928357842626,581,EpsilonGreedy
6296,0,0.8170000780624369,24592.74535792069,584,EpsilonGreedy
6297,3,3.9897959382721324,24596.73515385896,584,EpsilonGreedy
6298,3,4.048756357412129,24600.783910216374,584,EpsilonGreedy
6299,3,4.090632459314442,24604.87454267569,584,EpsilonGreedy
6300,3,3.943680750723982,24608.818223426413,584,EpsilonGreedy
6301,3,3.865140179032713,24612.683363605447,584,EpsilonGreedy
6302,3,3.78922659337627,24616.472590198824,584,EpsilonGreedy
6303,3,4.1300442210157335,24620.60263441984,584,EpsilonGreedy
6304,3,4.032145045069001,24624.63477946491,584,EpsilonGreedy
6305,3,4.075328541222047,24628.71010800613,584,EpsilonGreedy
6306,3,4.065653620345904,24632.775761626475,584,EpsilonGreedy
6307,3,4.124935926999426,24636.900697553476,584,EpsilonGreedy
6308,3,3.66677138836006,24640.567468941837,584,EpsilonGreedy
6309,3,3.909357238277917,24644.476826180115,584,EpsilonGreedy
6310,3,3.979236823341332,24648.456063003458,584,EpsilonGreedy
6311,3,4.2182265530391785,24652.674289556497,584,EpsilonGreedy
6312,3,3.7761733352069595,24656.450462891702,584,EpsilonGreedy
6313,3,4.0638922348417665,24660.514355126543,584,EpsilonGreedy
6314,3,3.934646329336787,24664.44900145588,584,EpsilonGreedy
6315,3,3.9157933339473447,24668.364794789828,584,EpsilonGreedy
6316,3,3.911686601824294,24672.27648139165,584,EpsilonGreedy
6317,3,3.946705977582791,24676.223187369233,584,EpsilonGreedy
6318,3,3.800900933873968,24680.024088303107,584,EpsilonGreedy
6319,3,3.899125020264189,24683.92321332337,584,EpsilonGreedy
6320,0,0.7120957118060427,24684.635309035177,587,EpsilonGreedy
6321,3,3.690921001581967,24688.32623003676,587,EpsilonGreedy
6322,3,4.083385481671298,24692.40961551843,587,EpsilonGreedy
6323,0,0.6894421973692361,24693.0990577158,590,EpsilonGreedy
6324,3,3.7667981712466614,24696.86585588705,590,EpsilonGreedy
6325,3,3.9953622522225363,24700.86121813927,590,EpsilonGreedy
6326,3,4.077331762858455,24704.93854990213,590,EpsilonGreedy
6327,3,3.6569483694310403,24708.59549827156,590,EpsilonGreedy
6328,3,3.702511473014366,24712.298009744572,590,EpsilonGreedy
6329,3,4.067890198320207,24716.36589994289,590,EpsilonGreedy
6330,3,4.320924546158523,24720.68682448905,590,EpsilonGreedy
6331,3,3.979076877037278,24724.665901366086,590,EpsilonGreedy
6332,3,4.181864939232634,24728.84776630532,590,EpsilonGreedy
6333,3,4.006829192713403,24732.854595498033,590,EpsilonGreedy
6334,3,4.1493397371128,24737.003935235145,590,EpsilonGreedy
6335,3,4.000506697956955,24741.004441933102,590,EpsilonGreedy
6336,3,3.8695828908382803,24744.87402482394,590,EpsilonGreedy
6337,3,3.850010397178271,24748.72403522112,590,EpsilonGreedy
6338,3,4.003493770862928,24752.72752899198,590,EpsilonGreedy
6339,3,3.9063816213298392,24756.633910613313,590,EpsilonGreedy
6340,3,3.738289966236936,24760.37220057955,590,EpsilonGreedy
6341,3,4.058278860720891,24764.43047944027,590,EpsilonGreedy
6342,3,3.986307718957259,24768.41678715923,590,EpsilonGreedy
6343,3,3.9047237495546745,24772.321510908783,590,EpsilonGreedy
6344,3,4.151121333894502,24776.47263224268,590,EpsilonGreedy
6345,3,4.108213867785589,24780.580846110464,590,EpsilonGreedy
6346,3,3.946418791777536,24784.52726490224,590,EpsilonGreedy
6347,3,4.27923195247663,24788.80649685472,590,EpsilonGreedy
6348,3,4.096313306014948,24792.902810160733,590,EpsilonGreedy
6349,3,4.171383986888833,24797.074194147623,590,EpsilonGreedy
6350,3,3.935776353122657,24801.009970500745,590,EpsilonGreedy
6351,3,4.16635073604511,24805.17632123679,590,EpsilonGreedy
6352,3,4.048688280015038,24809.225009516806,590,EpsilonGreedy
6353,3,3.6943670434160736,24812.91937656022,590,EpsilonGreedy
6354,3,4.014692678710927,24816.93406923893,590,EpsilonGreedy
6355,3,3.545776272622101,24820.479845511552,590,EpsilonGreedy
6356,3,4.161699328160048,24824.641544839713,590,EpsilonGreedy
6357,3,3.604332402722133,24828.245877242436,590,EpsilonGreedy
6358,1,2.1096427328347587,24830.35551997527,592,EpsilonGreedy
6359,3,3.8680648305892302,24834.22358480586,592,EpsilonGreedy
6360,3,3.8687914661721337,24838.09237627203,592,EpsilonGreedy
6361,3,4.040236375487971,24842.132612647518,592,EpsilonGreedy
6362,3,4.366468502338768,24846.499081149857,592,EpsilonGreedy
6363,3,4.117150272244665,24850.616231422104,592,EpsilonGreedy
6364,3,4.22777336480682,24854.84400478691,592,EpsilonGreedy
6365,3,4.165889845750588,24859.00989463266,592,EpsilonGreedy
6366,3,3.949036356155115,24862.958930988818,592,EpsilonGreedy
6367,3,3.7022421383392996,24866.66117312716,592,EpsilonGreedy
6368,3,4.073744092757962,24870.734917219917,592,EpsilonGreedy
6369,3,4.104220476756271,24874.839137696672,592,EpsilonGreedy
6370,3,4.1284236111439965,24878.967561307814,592,EpsilonGreedy
6371,3,4.062624799392588,24883.030186107208,592,EpsilonGreedy
6372,3,4.12051008991186,24887.15069619712,592,EpsilonGreedy
6373,3,3.8423983214310553,24890.99309451855,592,EpsilonGreedy
6374,3,3.831729689553036,24894.824824208106,592,EpsilonGreedy
6375,3,3.8165859419280626,24898.641410150034,592,EpsilonGreedy
6376,3,3.9393357121472183,24902.580745862182,592,EpsilonGreedy
6377,3,3.6241234617426508,24906.204869323923,592,EpsilonGreedy
6378,3,4.186446819954826,24910.39131614388,592,EpsilonGreedy
6379,3,3.8192769839763248,24914.210593127857,592,EpsilonGreedy
6380,3,4.091465674379037,24918.302058802237,592,EpsilonGreedy
6381,3,3.7515120976936056,24922.05357089993,592,EpsilonGreedy
6382,3,4.403486026907645,24926.45705692684,592,EpsilonGreedy
6383,3,3.7388465330234104,24930.195903459862,592,EpsilonGreedy
6384,3,3.8551420769691447,24934.05104553683,592,EpsilonGreedy
6385,3,3.983900221873061,24938.034945758704,592,EpsilonGreedy
6386,3,4.130159660299473,24942.165105419004,592,EpsilonGreedy
6387,2,3.280459468881586,24945.445564887887,593,EpsilonGreedy
6388,3,3.9188447664458543,24949.364409654332,593,EpsilonGreedy
6389,3,3.7188601821190854,24953.08326983645,593,EpsilonGreedy
6390,3,4.05380922545927,24957.13707906191,593,EpsilonGreedy
6391,3,4.242282115328618,24961.379361177238,593,EpsilonGreedy
6392,3,3.9248124502735022,24965.30417362751,593,EpsilonGreedy
6393,3,4.020686644672918,24969.324860272183,593,EpsilonGreedy
6394,3,3.9904934835107717,24973.315353755694,593,EpsilonGreedy
6395,3,4.109838274580131,24977.425192030274,593,EpsilonGreedy
6396,3,3.8896745281118887,24981.314866558387,593,EpsilonGreedy
6397,3,3.5542473916936315,24984.86911395008,593,EpsilonGreedy
6398,3,4.136891203793215,24989.006005153875,593,EpsilonGreedy
6399,3,3.8374419976306253,24992.843447151507,593,EpsilonGreedy
6400,3,3.853279635964467,24996.69672678747,593,EpsilonGreedy
6401,3,3.8165988882972517,25000.51332567577,593,EpsilonGreedy
6402,3,4.17833775558586,25004.691663431357,593,EpsilonGreedy
6403,3,4.241352669862969,25008.93301610122,593,EpsilonGreedy
6404,3,4.090329228236606,25013.023345329457,593,EpsilonGreedy
6405,3,4.021818743009879,25017.045164072468,593,EpsilonGreedy
6406,3,3.7938057274736154,25020.83896979994,593,EpsilonGreedy
6407,0,1.070909136210528,25021.909878936152,596,EpsilonGreedy
6408,3,3.6806350089011035,25025.590513945055,596,EpsilonGreedy
6409,3,4.084181115161422,25029.674695060217,596,EpsilonGreedy
6410,3,4.126031407492701,25033.80072646771,596,EpsilonGreedy
6411,3,4.065555624425503,25037.866282092134,596,EpsilonGreedy
6412,3,4.136706159359736,25042.002988251494,596,EpsilonGreedy
6413,3,4.050191581088394,25046.053179832583,596,EpsilonGreedy
6414,3,4.023984426191113,25050.077164258775,596,EpsilonGreedy
6415,3,3.857563170794672,25053.93472742957,596,EpsilonGreedy
6416,3,4.13427252176033,25058.06899995133,596,EpsilonGreedy
6417,3,3.8456232164933932,25061.914623167824,596,EpsilonGreedy
6418,3,4.22335194336735,25066.137975111193,596,EpsilonGreedy
6419,3,3.9836553336035694,25070.121630444795,596,EpsilonGreedy
6420,3,4.1903178034527855,25074.311948248247,596,EpsilonGreedy
6421,3,4.167454470489093,25078.479402718734,596,EpsilonGreedy
6422,3,4.042977422417972,25082.522380141152,596,EpsilonGreedy
6423,3,3.862306729849736,25086.384686871002,596,EpsilonGreedy
6424,3,3.7852469053915216,25090.169933776393,596,EpsilonGreedy
6425,3,3.834359649527787,25094.00429342592,596,EpsilonGreedy
6426,3,4.262858998447303,25098.26715242437,596,EpsilonGreedy
6427,3,3.8683780037501774,25102.13553042812,596,EpsilonGreedy
6428,1,2.082035108013335,25104.217565536135,598,EpsilonGreedy
6429,3,3.5378723048007377,25107.755437840937,598,EpsilonGreedy
6430,3,3.7612660262023203,25111.51670386714,598,EpsilonGreedy
6431,3,4.419725682501946,25115.93642954964,598,EpsilonGreedy
6432,3,3.7197116696529364,25119.656141219293,598,EpsilonGreedy
6433,3,3.9159937488023866,25123.572134968097,598,EpsilonGreedy
6434,3,4.168067444885403,25127.740202412984,598,EpsilonGreedy
6435,3,4.148732942848535,25131.888935355833,598,EpsilonGreedy
6436,3,4.1399330792363465,25136.02886843507,598,EpsilonGreedy
6437,3,4.144657097076806,25140.173525532147,598,EpsilonGreedy
6438,3,4.007093533501999,25144.18061906565,598,EpsilonGreedy
6439,3,3.884251787406384,25148.064870853057,598,EpsilonGreedy
6440,3,4.160091233478562,25152.224962086537,598,EpsilonGreedy
6441,3,3.8459400618451047,25156.07090214838,598,EpsilonGreedy
6442,2,2.794513967992833,25158.865416116376,599,EpsilonGreedy
6443,3,4.333692339499048,25163.199108455876,599,EpsilonGreedy
6444,3,3.9884051327094743,25167.187513588586,599,EpsilonGreedy
6445,3,4.000676629135357,25171.188190217723,599,EpsilonGreedy
6446,3,4.084614803981899,25175.272805021705,599,EpsilonGreedy
